"","Accuracy","AUC","AveragePrecision","Coverage","FMeasure","HammingLoss","MacroAUC","MacroFMeasure","MacroPrecision","MacroRecall","MicroAUC","MicroFMeasure","MicroPrecision","MicroRecall","OneError","Precision","RankingLoss","Recall","SubsetAccuracy"
"SVM",0.952582695127913,0.285044719642243,0.255877130305635,-Inf,0.681818181818182,0.0474173048720873,0.523949285987591,0.258393552404442,0.95,0.0484545393584295,0.539678547291367,0.146627565982405,0.892857142857143,0.0798722044728434,0.907120743034056,0.88,0.0240514781764099,0.0712209302325581,0.479876160990712
"NB",0.372657650317745,0.339460404904996,0.231404543918494,-Inf,0.260535154403184,0.627342349682255,0.564527455370391,0.104455293989228,0.0578031974428936,0.782146287628493,0.574240830056525,0.114942528735632,0.0619271736437949,0.798722044728435,0.938080495356037,0.0829887773385012,0.103158198263826,0.799418604651163,0.00619195046439629
"RF",0.959263483786867,0.325346779578705,0.289582611395219,-Inf,0.730642991659941,0.0407365162131335,0.566806288899006,0.345142577480068,0.831763085399449,0.135927955530358,0.620289679370151,0.378109452736318,0.853932584269663,0.242811501597444,0.811145510835913,0.855555555555556,0.0804852746051981,0.225678294573643,0.51702786377709
"DT",0.951930910868502,0.347268690758037,0.273544148572386,-Inf,0.706731334509112,0.0480690891314975,0.624362326399628,0.391716789112807,0.574958437420803,0.26501854793406,0.667820498191904,0.427184466019418,0.544554455445545,0.351437699680511,0.798761609907121,0.5366391184573,0.115819826382565,0.331007751937984,0.476780185758514
"KNN_1",0.945087176144696,0.378881315167966,0.276589999279673,-Inf,0.697401916741539,0.0549128238553039,0.705570128344378,0.439126237296464,0.437455300571271,0.441856546340167,0.726190019046449,0.472613458528951,0.46319018404908,0.482428115015974,0.773993808049536,0.47218875502008,0.164598672286252,0.470833333333333,0.458204334365325
"KNN_3",0.952256802998208,0.34929354094579,0.268696596867452,-Inf,0.686855158730159,0.0477431970017924,0.627037870740395,0.392164036894349,0.562474665946219,0.271571914877046,0.680084941017449,0.446124763705104,0.546296296296296,0.376996805111821,0.829721362229102,0.53141592920354,0.113358945229279,0.341182170542636,0.492260061919505
"KNN_5",0.951605018738797,0.327501062344442,0.248176123552051,-Inf,0.685835351089588,0.0483949812612025,0.590907043566558,0.353252539125155,0.62824021018001,0.193309468643685,0.622301021662044,0.350109409190372,0.555555555555556,0.255591054313099,0.86687306501548,0.528409090909091,0.0881393940445115,0.247674418604651,0.46749226006192
"KNN_7",0.95111618054424,0.308695542200368,0.243260751711189,-Inf,0.694483159117305,0.0488838194557601,0.547949104504858,0.365095998873858,0.469077487625875,0.10348568790397,0.584253655689359,0.268292682926829,0.56701030927835,0.175718849840256,0.897832817337461,0.502564102564103,0.061968032827166,0.171124031007752,0.464396284829721
"RANDOM",0.735457063711911,0.324475028401453,0.253863435109794,-Inf,0.410072394939573,0.264542936288089,0.55792324180855,0.191946732274502,0.408724304876223,0.364344448058332,0.580975247296633,0.143259104091218,0.0904723274056155,0.408945686900958,0.923219814241486,0.108622921446278,0.110264588807659,0.401812015503876,0.0421052631578947
"TOP3",0.954049209711585,0.352335134260102,0.267979385031054,-Inf,0.702448703058459,0.0459507902884145,0.630544666366106,0.409848295123657,0.61375671722827,0.277211012621406,0.685564086472633,0.461832061068702,0.57345971563981,0.386581469648562,0.820433436532508,0.551884057971014,0.117646769750212,0.349903100775194,0.501547987616099
"ALL",0.903210037477595,0.382696450613269,0.270919306163699,-Inf,0.570582052047569,0.0967899625224051,0.723058523956689,0.433774228283285,0.492094893109641,0.52282849836475,0.731334809359969,0.362660944206009,0.273021001615509,0.539936102236422,0.873065015479876,0.218458781362007,0.174024666626196,0.531589147286822,0.0959752321981424
